time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-05-05T04:43:11.970Z,18.6393,-65.3678,42,2.47,md,3,279,0.3426,0.4,pr,pr2017125003,2017-05-06T22:10:14.127Z,"37km N of Culebra, Puerto Rico",earthquake,7.75,8.49,0,1,reviewed,pr,pr
2017-05-05T03:41:52.615Z,52.1643,-179.1911,43.9,2.7,ml,,,,0.45,ak,ak15914271,2017-05-05T19:01:14.922Z,"78km WNW of Tanaga Volcano, Alaska",earthquake,,3.1,,,reviewed,ak,ak
2017-05-05T03:41:11.630Z,-28.6648,-71.6388,19.49,4.7,mwr,,96,0.676,1.01,us,us10008pju,2017-05-05T04:19:35.972Z,"86km W of Vallenar, Chile",earthquake,2.4,3.3,0.05,38,reviewed,us,us
2017-05-05T02:53:34.070Z,-5.6347,110.0871,553.25,4.8,mb,,73,1.448,0.97,us,us10008pjm,2017-05-05T03:11:53.040Z,"116km NW of Batang, Indonesia",earthquake,7.5,6.3,0.055,102,reviewed,us,us
2017-05-05T01:49:36.550Z,-10.356,118.9033,37.72,4.5,mb,,116,3.706,1.03,us,us10008pjh,2017-05-05T02:25:08.040Z,"76km SSW of Kahale, Indonesia",earthquake,6.9,10.2,0.127,18,reviewed,us,us
2017-05-05T01:23:30.180Z,-23.7962,-175.8,35,4.9,mb,,89,15.034,1.23,us,us10008pjf,2017-05-05T03:02:31.040Z,"286km SSW of `Ohonua, Tonga",earthquake,12.8,1.9,0.054,115,reviewed,us,us
2017-05-05T00:03:09.304Z,60.238,-147.2661,8.8,2.5,ml,,,,0.75,ak,ak15910909,2017-05-05T00:46:36.040Z,"89km WSW of Cordova, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-05-04T23:40:21.810Z,59.7585,-136.7008,5.95,3,ml,,92,0.541,1.05,us,us10008pia,2017-05-04T23:56:00.996Z,"85km WNW of Skagway, Alaska",earthquake,1.8,7.2,0.053,46,reviewed,us,us
2017-05-04T23:36:48.390Z,37.2353,-97.8842,2.75,3.5,mb_lg,,41,0.024,0.23,us,us10008pi7,2017-05-05T23:35:01.228Z,"13km ESE of Harper, Kansas",earthquake,2,5.5,0.047,118,reviewed,us,us
2017-05-04T23:33:09.230Z,35.7964,-97.1996,5.91,2.8,mb_lg,,31,0.141,0.54,us,us10008pi6,2017-05-05T01:01:49.272Z,"14km N of Luther, Oklahoma",earthquake,1.1,4.7,0.065,62,reviewed,us,us
2017-05-04T23:23:10.560Z,59.7161,-136.6683,2,2.9,ml,,97,0.549,0.92,us,us10008pi1,2017-05-04T23:33:03.040Z,"81km WNW of Skagway, Alaska",earthquake,5.1,1.6,0.062,34,reviewed,us,us
2017-05-04T22:55:12.320Z,9.4386,-78.3476,66.25,4.6,mb,,77,1.251,1.13,us,us10008phn,2017-05-05T19:16:08.355Z,"19km NW of Playon Chico, Panama",earthquake,7.9,10.2,0.044,152,reviewed,us,us
2017-05-04T22:13:48.750Z,-9.889,107.4986,43,4.7,mb,,164,3.575,0.82,us,us10008ph8,2017-05-05T08:38:35.040Z,"207km ENE of Flying Fish Cove, Christmas Island",earthquake,10.6,6.9,0.082,45,reviewed,us,us
2017-05-04T22:13:29.026Z,51.7466,-178.8897,28,2.9,ml,,,,0.7,ak,ak15909781,2017-05-05T01:03:07.344Z,"53km WSW of Tanaga Volcano, Alaska",earthquake,,5.7,,,reviewed,ak,ak
2017-05-04T21:58:19.837Z,51.7148,-179.2145,28.2,2.9,ml,,,,0.7,ak,ak15909770,2017-05-05T00:49:43.428Z,"50km N of Amatignak Island, Alaska",earthquake,,15.7,,,reviewed,ak,ak
2017-05-04T21:55:37.399Z,59.7722,-136.6842,0,3,ml,,,,0.79,ak,ak15909765,2017-05-04T22:01:40.549Z,"84km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-04T21:45:06.919Z,51.6353,-178.7005,4.9,3.3,ml,,,,0.6,ak,ak15909754,2017-05-05T00:44:44.278Z,"47km SW of Tanaga Volcano, Alaska",earthquake,,2.4,,,reviewed,ak,ak
2017-05-04T21:38:23.299Z,51.5776,-178.5186,12.9,3.5,ml,,,,0.3,ak,ak15909753,2017-05-05T00:38:42.947Z,"42km SW of Tanaga Volcano, Alaska",earthquake,,3.7,,,reviewed,ak,ak
2017-05-04T21:36:47.039Z,59.8162,-136.78,1.7,3,ml,,,,0.66,ak,ak15909743,2017-05-04T21:41:24.009Z,"91km WNW of Skagway, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-05-04T21:17:29.340Z,18.4805,-67.5426,21,2.7,md,4,304,0.1151,0.24,pr,pr2017124008,2017-05-06T22:15:04.353Z,"34km WNW of Rincon, Puerto Rico",earthquake,1.77,1.31,0.14,4,reviewed,pr,pr
2017-05-04T20:00:22.895Z,51.6239,-178.7688,5.1,3,ml,,,,0.98,ak,ak15908638,2017-05-04T21:04:13.154Z,"46km NNE of Amatignak Island, Alaska",earthquake,,8.3,,,reviewed,ak,ak
2017-05-04T19:25:46.139Z,59.8062,-136.5589,0,3,ml,,,,0.63,ak,ak15908622,2017-05-04T19:32:17.525Z,"80km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-04T18:53:31.751Z,59.7836,-136.7768,0.8,3.4,ml,,,,0.69,ak,ak15907527,2017-05-04T18:59:20.127Z,"90km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-05-04T18:17:45.739Z,59.7924,-136.7065,0,2.6,ml,,,,0.71,ak,ak15907511,2017-05-04T18:24:13.025Z,"86km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-04T18:06:27.421Z,59.8306,-136.8203,0,2.5,ml,,,,0.82,ak,ak15906426,2017-05-04T18:10:59.995Z,"94km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-04T17:21:51.131Z,61.4698,-152.1478,100.8,3.8,ml,,,,0.57,ak,ak15906391,2017-05-07T04:45:45.449Z,"98km NNW of Nikiski, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2017-05-04T16:52:02.400Z,59.8421,-136.7814,7.95,2.9,ml,,83,0.529,1.11,us,us10008pcd,2017-05-05T17:37:40.040Z,"93km WNW of Skagway, Alaska",earthquake,4.3,8.4,0.051,50,reviewed,us,us
2017-05-04T16:33:32.750Z,59.7799,-136.6829,3.15,2.9,ml,,90,0.555,1.01,us,us10008pc6,2017-05-04T19:26:14.040Z,"85km WNW of Skagway, Alaska",earthquake,4.7,8.3,0.052,48,reviewed,us,us
